居住地址,lat,lng,hospital_count,nearest_hospital_distance,store_count,nearest_store_distance
屏東縣恆春鎮山腳里,22.0005157,120.7637298,0.0,0.0,0.0,0.0
屏東縣恆春鎮仁壽里,22.0373589,120.7407425,0.0,0.0,0.0,0.0
屏東縣恆春鎮水泉里,21.9413708,120.7263732,0.0,0.0,0.0,0.0
屏東縣東港鎮東隆里,22.4629336,120.4490852,20.0,0.4708159325067581,20.0,0.1803114622407162
屏東縣東港鎮盛漁里,22.4620417,120.446925,12.0,0.6360297385273594,13.0,0.1974671156441313
屏東縣東港鎮朝安里,22.4674414,120.4451247,11.0,0.4142587436203119,15.0,0.07777145809806742
屏東縣恆春鎮德和里,21.9948618,120.7263732,0.0,0.0,1.0,1.0415051304974463
屏東縣潮州鎮崙東里,22.5290871,120.5768354,0.0,0.0,0.0,0.0
屏東縣恆春鎮大光里,21.9496994,120.7378688,0.0,0.0,2.0,0.2941656785727286
屏東縣恆春鎮網紗里,22.0251752,120.7608567,0.0,0.0,0.0,0.0
屏東縣東港鎮興農里,22.4969624,120.4804048,0.0,0.0,1.0,1.4183660371854425
屏東縣東港鎮頂中里,22.4681451,120.4498053,20.0,0.06614110607919022,20.0,0.09808007102242271
屏東縣東港鎮興漁里,22.4610727,120.4483651,12.0,0.6593561171663115,16.0,0.027006622899611823
屏東縣東港鎮豐漁里,22.4639074,120.4411641,10.0,0.9083385719514496,10.0,0.3157201583428316
屏東縣潮州鎮興美里,22.5160764,120.5365449,0.0,0.0,0.0,0.0
屏東縣新埤鄉餉潭村,22.4897357,120.6113599,0.0,0.0,0.0,0.0
屏東縣屏東市北興里,22.6895776,120.4948021,20.0,0.9460533211031242,20.0,0.30615521076328645
屏東縣萬丹鄉厦北村,22.6036071,120.4573659,0.0,0.0,2.0,1.0097861813230753
屏東縣佳冬鄉羌園村,22.4315532,120.5307881,0.0,0.0,1.0,1.413318950379491
屏東縣屏東市新興里,22.6447928,120.4847242,5.0,0.951746810546855,6.0,0.31561165086221227
屏東縣內埔鄉東寧村,22.6184039,120.5595696,2.0,0.6367463600905171,9.0,0.34555088348833846
屏東縣枋寮鄉東海村,22.4005437,120.5768354,0.0,0.0,4.0,0.2917885901869125
屏東縣鹽埔鄉仕絨村,22.7642474,120.5538138,0.0,0.0,0.0,0.0
屏東縣佳冬鄉萬建村,22.4245238,120.5581307,2.0,0.8079174319121483,5.0,0.7423497874798709
屏東縣萬丹鄉社口村,22.6120865,120.461686,1.0,1.0284532595980846,4.0,0.8674787671627227
屏東縣萬巒鄉新厝村,22.5688493,120.617113,1.0,1.3392130561378401,0.0,0.0
屏東縣竹田鄉永豐村,22.6281511,120.5322273,2.0,0.9625143862659237,5.0,1.120400151153432
屏東縣長治鄉德和村,22.7143077,120.5365449,0.0,0.0,4.0,0.1805914159705241
屏東縣屏東市大連里,22.6791252,120.5063187,20.0,0.22701849410365205,20.0,0.02285360713888568
屏東縣屏東市公館里,22.639817,120.4796849,10.0,1.05237978990384,3.0,0.522632424169218
屏東縣佳冬鄉塭豐村,22.4089256,120.5365449,0.0,0.0,1.0,1.388971615220704
屏東縣屏東市歸心里,22.6516781,120.4998407,0.0,0.0,6.0,0.6418193099078683
屏東縣屏東市豐田里,22.6742854,120.5070384,20.0,0.5633554842372461,20.0,0.2718992474845439
屏東縣屏東市華山里,22.6871633,120.5063187,9.0,0.1464748351358376,19.0,0.3053508111402027
屏東縣枋寮鄉隆山村,22.3612254,120.6113599,0.0,0.0,2.0,0.8277177372254717
屏東縣長治鄉潭頭村,22.6734282,120.520713,0.0,0.0,8.0,0.19174144037390367
屏東縣新園鄉仙吉村,22.5423999,120.461686,1.0,0.14863222290777972,3.0,0.11083424213571866
屏東縣高樹鄉舊寮村,22.8526351,120.617113,0.0,0.0,0.0,0.0
屏東縣崁頂鄉洲子村,22.5298405,120.4962417,0.0,0.0,0.0,0.0
屏東縣萬丹鄉磚寮村,22.619852,120.4501653,0.0,0.0,0.0,0.0
屏東縣高樹鄉廣福村,22.7657497,120.6228659,0.0,0.0,0.0,0.0
屏東縣南州鄉萬華村,22.4738526,120.5077582,0.0,0.0,0.0,0.0
屏東縣萬丹鄉社皮村,22.6161625,120.4710457,1.0,0.22523618103430834,3.0,0.1771152911418938
屏東縣萬丹鄉香社村,22.565761,120.4717657,1.0,0.6823487470442519,1.0,0.3504197024084548
屏東縣萬丹鄉崙頂村,22.5864851,120.4559258,0.0,0.0,1.0,0.6869195083496861
屏東縣長治鄉新潭村,22.6808617,120.5235917,0.0,0.0,5.0,0.3895350598165954
屏東縣恆春鎮頭溝里,22.0251699,120.709128,0.0,0.0,0.0,0.0
屏東縣長治鄉長興村,22.6853522,120.5149555,2.0,1.0117748386488237,10.0,0.5101693799212041
屏東縣恆春鎮龍水里,21.9731751,120.7407425,0.0,0.0,0.0,0.0
屏東縣萬丹鄉萬全村,22.5922358,120.4861639,5.0,0.3681426720699408,7.0,0.28097367670637924
屏東縣萬丹鄉加興村,22.608642,120.4717657,1.0,1.028919115867253,5.0,0.8624075472209728
屏東縣里港鄉過江村,22.7870802,120.4962417,1.0,1.0808825211875914,5.0,1.0281639035221735
屏東縣里港鄉瀰力村,22.8290922,120.4876036,0.0,0.0,0.0,0.0
屏東縣九如鄉九塊村,22.7351935,120.4865238,1.0,1.268686177299597,5.0,0.3369092171868954
屏東縣里港鄉永春村,22.7795601,120.4969615,2.0,0.24689114629384665,6.0,0.21143558274246832
屏東縣麟洛鄉田中村,22.6418818,120.5178343,3.0,1.3282430288555331,3.0,1.3388192764657314
屏東縣九如鄉耆老村,22.7561351,120.4904831,0.0,0.0,5.0,0.1875851037535936
屏東縣高樹鄉菜寮村,22.8562897,120.5998528,0.0,0.0,2.0,1.3107994773893912
屏東縣高樹鄉新豐村,22.8724605,120.6372471,0.0,0.0,1.0,1.137929985059319
屏東縣高樹鄉源泉村,22.8110166,120.6113599,0.0,0.0,1.0,1.5671394227536186
屏東縣鹽埔鄉永隆村,22.7575172,120.5221524,0.0,0.0,0.0,0.0
屏東縣高樹鄉廣興村,22.7377645,120.6286186,1.0,1.0250743742426387,2.0,1.1725063897317092
屏東縣萬巒鄉萬和村,22.5694245,120.5696416,0.0,0.0,3.0,0.3508163795729446
屏東縣萬巒鄉萬巒村,22.5755502,120.5595696,0.0,0.0,3.0,0.9264523057526078
屏東縣竹田鄉糶糴村,22.5799311,120.5322273,0.0,0.0,1.0,1.3481507454059931
屏東縣泰武鄉平和村,22.5619482,120.6372471,0.0,0.0,0.0,0.0
屏東縣枋寮鄉內寮村,22.3890371,120.6127982,1.0,0.67717551021319,1.0,1.460844227407581
屏東縣竹田鄉二崙村,22.5923902,120.5494968,0.0,0.0,4.0,0.9303727932889081
屏東縣枋寮鄉大庄村,22.3934238,120.5595696,0.0,0.0,0.0,0.0
屏東縣竹田鄉六巷村,22.6070526,120.5178343,0.0,0.0,0.0,0.0
